№,Вопрос,Вариант A,Вариант B,Вариант C,Вариант D,Вариант E,Topic,Group_ID,Correct_Answer
1,"The term “hegemony,” as used in Cultural Studies to describe the dominant cultural norms and values that maintain social control, was originally developed by which thinker?",Karl Marx,Theodor Adorno,Antonio Gramsci,Jean Baudrillard,Clifford Geertz,General Cultural Studies,1,C
2,What is the main focus of cultural relativism in Cultural Studies?,The belief that some cultures are more advanced than others,That all cultural practices should be judged by universal moral standards,That each culture must be understood in its own terms without ethnocentric judgment,The classification of cultures according to religious traditions,That culture is determined solely by economic systems,General Cultural Studies,1,C
4,Which of the following best defines culture in the context of Cultural Studies?,The study of biology and human evolution,The collection of economic systems in a society,"The shared beliefs, values, customs, behaviors, and artifacts of a group",The formal political structure of a society,A static and unchanging tradition passed through generations,General Cultural Studies,1,C
6,Who is considered the father of American cultural anthropology?,Clifford Geertz,Bronisław Malinowski,Lewis Henry Morgan,Michel Foucault,Franz Boas,General Cultural Studies,1,E
8,What is the difference between material and non-material culture,"One is old, one is new","One is correct, one is wrong","One includes physical objects, the other includes beliefs and values",Both are the same,One is superior to the other,General Cultural Studies,1,C
9,Which term is associated with Margaret Mead’s studies of adolescence in Samoan society?,Cultural conflict,Cultural relativism,Ethnocentrism,Technological determinism,Power dynamics,General Cultural Studies,1,B
10,Which concept describes the coexistence of diverse cultures in one society?,Nationalism,Multiculturalism,Cultural purity,Ethnocentrism,Colonialism,General Cultural Studies,1,B
11,Researchers believe that an individual’s norms and actions should be understood by others in terms of that individual’s own cultural context. This concept is referred to as:,Cultural interpretation,Cultural sensitivity,Cultural relativism,Cultural boundaries,Cultural aspect,General Cultural Studies,1,C
12,An exchange student travels to Morocco... Which of the following is not an example of material culture?,Traditions,Vases,Artifacts,Souvenirs,Necklaces,General Cultural Studies,1,A
13,"When conducting business with other cultures, how should we understand gestures (such as shaking your head)?",Gestures are understood by people and animals in the same way,Gestures are interpreted in the same way by all cultures,Gestures are not needed,Gestures are defined uniquely by each culture,Gestures are universal,General Cultural Studies,1,D
14,The disorientation a person may feel when experiencing an unfamiliar way of life changes in social environments is referred to as:,Culture shock,Culture clash,Cultural independency,Cultural sickness,Cultural dependency,General Cultural Studies,1,A
23,“The Mind of Primitive Man” was written by:,Franz Boas,Edward Tylor,Bronisław Malinowski,Raymond Williams,Stuart Hall,General Cultural Studies,1,A
29,The idea that “food is a communication system” comes from which approach?,Political science,Semiotics,Astronomy,Behavioral economics,Pharmacology,General Cultural Studies,1,B
30,"When someone misinterprets a cultural gesture, it may be due to:",Language error,Lack of education,A misunderstanding of the cultural code,Memory loss,Technology failure,General Cultural Studies,1,C
31,Which concept best describes a community's general perception of the world and human existence?,Legislation,Worldview,Geography,Fashion,Demographics,General Cultural Studies,1,B
32,How are ethos and worldview transmitted within a culture?,Through media and education,Through traditions and rituals,Through language and communication,Through religion and art,All of the above,General Cultural Studies,1,E
33,"What does the term ""ethos"" refer to in cultural studies?",Economic structure,A set of ethical norms and moral attitudes shared by a community,The biological traits of a population,A political ideology,A form of entertainment,General Cultural Studies,1,B
34,Which of the following is an element of non-material culture?,Architecture,Language,Tools,Clothing,Food,General Cultural Studies,1,B
35,What term refers to judging another culture solely by the values and standards of one's own culture?,Multiculturalism,Cultural relativism,Ethnocentrism,Cultural diffusion,Enculturation,General Cultural Studies,1,C
